Level,Date and Time,Source,Event ID,Task Category
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support. Product Version: 16.0.31110. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Connection Info. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft OLE DB Driver for SQL Server. Product Version: 18.7.4.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Analysis Services OLE DB Provider. Product Version: 16.0.5143.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Connection Info. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2022 X86 Additional Runtime - 14.30.30708. Product Version: 14.30.30708. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Python 3.12.1 Tcl/Tk Support (64-bit). Product Version: 3.12.1150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Python 3.12.1 Documentation (64-bit). Product Version: 3.12.1150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005. Product Version: 12.0.21005. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:38,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005. Product Version: 12.0.21005. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Database Engine Shared. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SecureExamBrowser. Product Version: 1.4.7. Product Language: 1033. Manufacturer: Hirepro. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: Microsoft VC++ redistributables repacked.. Product Version: 12.0.0.0. Product Language: 1033. Manufacturer: Intel Corporation. Reconfiguration success or error status: 0.
Information,19-12-2024 09:26:37,MsiInstaller,1035,None,Windows Installer reconfigured the product. Product Name: SQL Server 2022 Shared Management Objects. Product Version: 16.0.1000.6. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
